Department,Course Number,Course Name,Credits,Semesters Offered,Pre-Requisite(s)
ACC,2000,Accounting Principles I,3.0,"Fall, Spring",
ACC,2100,Accounting Principles II,3.0,"Fall, Spring",ACC 2000
ACC,3000,Intermediate Accounting I,3.0,Fall,ACC 2000
ACC,3100,Intermediate Accounting II,3.0,Spring,ACC 3000 and FIN 3000(C)
ACC,3500,Managerial/Cost Accounting I,3.0,Spring,ACC 2100
ACC,3600,Foundations of Taxation,3.0,Fall,ACC 2000
ACC,4000,Accounting Data Analytics,3.0,Fall,ACC 2000 and ACC 3000(C)
ACC,4100,Audit and Assurance,3.0,Fall,ACC 3000 or ACC 5050
ACC,4200,Advanced Accounting,3.0,Spring,ACC 3100
ACC,4500,Managerial/Cost Accounting II,3.0,On Demand,ACC 3500
ACC,4600,Advanced Tax Topics,3.0,On Demand,ACC 3600
ACC,4700,Governmental and Not-for-Profit Accounting,3.0,Spring,ACC 3000
ACC,4800,Accounting Systems,3.0,Fall,ACC 2100 or ACC 5050
ACC,4990,Special Topics in Accounting,var,On Demand,ACC 3000
AE,2500,Principles of Aerospace Engineering,3.0,Fall,ENG 1102
AE,2550,Space Environment &amp; Operation,3.0,Spring,ENG 1102 and PH 2200
AE,3501,Aerospace Systems Engineering Practice,3.0,Fall,ME 2150 and ME 2700 and ME 2911(C) and AE 2500 and AE 2550
AE,3511,Spacecraft Engineering Practice,3.0,Spring,AE 3501
AE,3520,Aerodynamics,4.0,Fall,AE 2500 and MA 3160 and (ME 2911 or MEEM 2911)
AE,4530,Compressible Flow,3.0,Spring,AE 3520 or MEEM 3201 or ME 3201
AE,4540,Aerospace Propulsion,4.0,Spring,(AE 3520 and AE 4530) or MEEM 3201 or ME 3201
AE,4550,Spacecraft Thermal Engineering,3.0,Fall,AE 3520 and AE 3511
AE,4560,Aerospace Materials &amp; Structures,3.0,Fall,AE 2550 and (ME 2150 or MEEM 2150)
AE,4570,Space Mechanics,3.0,Fall,MEEM 2700 or ME 2700
AE,4580,Spacecraft Dynamics &amp; Control (SD&amp;C),3.0,Spring,AE 4570(C) and (MEEM 3750 or ME 3750)
AF,0230,Precision Drill Team,1.0,"Fall, Spring",
AF,1001,US Air Force Heritage and Values I,1.0,Fall,
AF,1002,US Air Force Heritage and Values II,1.0,Spring,
AF,1120,Physical Conditioning,1.0,"Fall, Spring",
AF,1340,Field Training,1.0,Summer,AF 2002
AF,2001,Team and Leadership Fundamentals I,1.0,Fall,
AF,2002,Team and Leadership Fundamentals II,1.0,Spring,AF 2001
AF,3001,Leading People and Effective Communication I,3.0,Fall,UN 1015
AF,3002,Leading People and Effective Communication II,3.0,Spring,
AF,4001,National Security/Leadership Responsibilities/Commissioning Preparation I,3.0,Fall,
AF,4002,National Security/Leadership Responsibilities/Commissioning Preparation II,3.0,Spring,
AR,1001,Introduction to the Army and Critical Thinking,1.0,Fall,
AR,1003,Leadership and Competence,1.0,Spring,
AR,1011,Basic Leadership Lab I,1.0,Fall,
AR,1012,Basic Leadership Lab II,1.0,Spring,
AR,2001,Leadership and Ethics,2.0,Fall,
AR,2002,Army Doctrine and Decision Making,2.0,Spring,
AR,2011,Intermediate Leadership Lab I,1.0,Fall,
AR,2012,Intermediate Leadership Lab II,1.0,Spring,
AR,2068,Fall Military Physical Conditioning,1.0,"Fall, Summer",
AR,2069,Spring Military Physical Conditioning,1.0,Spring,
AR,3001,Warfighting Functions,2.0,Fall,
AR,3002,Leadership and Operations,2.0,Spring,AR 3001
AR,3011,Advanced Leadership Lab I,1.0,Fall,
AR,3012,Advanced Leadership Lab II,1.0,Spring,AR 3011
AR,3068,Military Physical Leadership I,1.0,Fall,AR 2068 and AR 2069
AR,3069,Military Physical Leadership II,1.0,Spring,AR 3068
AR,4001,Mission Command I and the Army Profession,2.0,"Fall, Spring",AR 3001 and AR 3002
AR,4004,Mission Command II and the Company Grade Officer,2.0,Spring,AR 3001 and AR 3002
AR,4011,Battalion Staff Operations I,1.0,Fall,
AR,4012,Battalion Staff Operations II,1.0,Spring,
AR,4100,Special Topics Leadership Development,1.0,On Demand,
AR,4200,Leadership Development,1.0,Spring,
ART,1000,Art Appreciation,3.0,"Fall, Spring, Summer",
ART,1100,Drawing I,3.0,"Fall, Summer",
ART,1110,Art + Design Studio,3.0,Fall,
ART,1850,Special Arts Activities for Wellness + Success,1.0,"Fall, Spring, Summer",
ART,1855,Special Arts Workshop for Wellness + Success,0.5,"Fall, Spring, Summer",
ART,2100,Drawing II,3.0,Spring,ART 1100 or ART 1110 or ART 2130 or ART 2160 or ART 2190 or ART 2195 or ART 3130 or ART 3180 or ART 3190 or ART 4450
ART,2110,Art on Site,3.0,"Spring, in even years",
ART,2140,Ceramics I,3.0,"Fall, Summer",
ART,2145,Beginning Wheel Throwing,3.0,"Fall, Spring, Summer",
ART,2170,Fiber Arts,3.0,On Demand,
ART,2195,Art &amp; Flora: Visual Taxonomies of Terrestrial &amp; Aquatic Ecosystems,3.0,"Fall, in odd years",
ART,2201,Art History,3.0,On Demand,
ART,2350,Scenic Art &amp; Scenic Illustration,3.0,"Spring, in even years",
ART,2950,Creative Campus: Local Arts Immersion,3.0,Spring,
ART,3130,Creative Drawing II,3.0,"Spring, in even years",ART 1100 or ART 1110 or ART 2100 or ART 2195 or ART 3180 or ART 4450
ART,3140,Creative Ceramics,3.0,Spring,ART 1110 or ART 2140 or ART 2145 or ART 2160 or ART 2190 or ART 2195 or ART 3145 or ART 3190 or ART 3410 or ART 3420
ART,3145,Ceramic Sculpture,3.0,On Demand,ART 1110 or ART 2140 or ART 2145 or ART 2190 or ART 2195 or ART 3140 or ART 3410 or ART 3190
ART,3180,"Color and Creativity: Exploring the Power of Color through Paint, Composition, and Design",3.0,Spring,ART 1100 or ART 1110 or ART 2100 or ART 2130 or ART 2190 or ART 2195 or ART 2350 or ART 3130 or ART 3190
ART,3190,"Art, Nature, and Contemplative Photography",3.0,Fall,
ART,3410,Contemporary Sculpture Studio,3.0,"Spring, in even years",
ART,3420,World Sculpture Traditions,3.0,On Demand,ART 1100 or ART 1110 or ART 2110 or ART 2130 or ART 2140 or ART 2145 or ART 2190 or ART 2195 or ART 2350 or ART 3130 or ART 3190
ART,3850,Special Topics: Art,var,On Demand,
ART,3860,Advanced Special Topics: Art,var,On Demand,ART 2190 or ART 2130 or ART 2100 or ART 3140 or ART 3145 or ART 3410 or ART 3420 or ART 3180 or ART 2130 or ART 2195 or ART 3190 or ART 3130
ART,3900,Study Away: Regional Arts Immersion,var,On Demand,
ART,3950,International Arts Immersion,var,On Demand,
ART,4410,Advanced Sculpture Studio,3.0,On Demand,ART 3140 or ART 3145 or ART 3410 or ART 3420
ART,4440,Advanced Ceramics,3.0,Spring,ART 2140 or ART 2145 or ART 2190 or ART 3140 or ART 3145 or ART 3410 or ART 3420 or ART 3190
ART,4450,Advanced Creative Drawing and Painting Studio,3.0,"Spring, in odd years",(ART 1100 or ART 2100 or ART 2130 or ART 2195 or ART 2350 or ART 3130) and (ART 3180 or FA 3180)
ART,4700,Studio Research Assistant,var,On Demand,ART 2100 or ART 3140 or ART 3180 or ART 3410 or ART 3420 or ART 3145 or ART 2130 or ART 3130 or ART 2195
ART,4800,Independent Study: Art,var,"Fall, Spring, Summer",
BE,2100,Undergraduate Biomedical Engineering Seminar,1.0,Fall,
BE,2110,Statistical Methods for Biomedical Engineering,3.0,Spring,MA 1135 or MA 1160 or MA 1161 or MA 1121
BE,2400,Cellular and Molecular Biology,3.0,Fall,CH 1150 and MA 1160 or MA 1161 or MA 1121
BE,2700,Biomedical Signals &amp; Systems,3.0,Fall,CH 1150 and PH 2100 and MA 2160 and ENG 1102
BE,2800,Biomaterials I: Fundamental Materials Science and Engineering,3.0,Spring,BE 2400
BE,3300,Biomechanics I: Statics and Dynamics,3.0,Fall,BE 2400 and (MA 2321 or MA 2320 or MA 2330) and (MA 3521 or MA 3520 or MA 3530) and BL 2010(C)
BE,3350,Biomechanics II: Soft Tissue and Bio-Fluid Mechanics,3.0,Spring,BE 3300
BE,3400,Experimental Techniques in Biomedical Engineering,2.0,Fall,BE 2800
BE,3550,Fluid Mechanics,4.0,Spring,MA 3160 and (MA 3520 or MA 3521) and BE 3300
BE,3700,Biomedical Instrumentation,3.0,Spring,EE 3010 and PH 2200(C) and BL 2020(C) and BE 2700
BE,3701,Biomedical Instrumentation Lab,1.0,Spring,
BE,3800,Biomaterials II: Properties and Biological Interactions,3.0,"Fall, Summer",BE 2700(C) and BE 2800
BE,3981,LabVIEW Basics,1.0,"Fall, Spring",
BE,4000,Independent Study,var,"Fall, Spring, Summer",
BE,4115,Finite Element Modeling,3.0,Spring,(MA 2320 or MA 2321) and (MA 3520 or MA 3521) and (BE 3350 or MEEM 2150)
BE,4200,Cellular and Molecular Biology II,3.0,"Spring, Summer",BE 2400
BE,4230,Stem Cell and Tissue Engineering,3.0,Spring,BE 2400 and BE 3350 and BE 3800
